Timestamp,demand,supply,price
1546300800,6352,6527,65.41
1546304400,6116,5701,64.92
1546308000,5873,5676,64.48
1546311600,5682,5603,59.32
1546315200,5557,5454,56.04
1546318800,5525,5385,53.63
1546322400,5513,5349,51.73
1546326000,5524,5547,51.43
1546329600,5510,5471,48.98
1546333200,5617,5545,54.2
1546336800,5643,5610,58.94
1546340400,5737,5733,59.86
1546344000,5776,5816,60.12
1546347600,5744,5823,62.05
1546351200,5710,5721,62.06
1546354800,5813,5804,59.76
1546358400,6009,5870,61.18
1546362000,6613,6242,64.74
1546365600,6718,6401,74.26
1546369200,6721,6488,74.24
1546372800,6632,6652,75.64
1546376400,6441,6726,73.92
1546380000,6222,6570,70.53
1546383600,5936,6472,64.13
1546387200,5647,6407,64.02
1546390800,5500,6036,58.46
1546394400,5385,6009,54.7
1546398000,5327,6062,54.91
1546401600,5362,5867,53.07
1546405200,5411,5878,54.23
1546408800,5510,5996,58.22
1546412400,5784,6300,67.55
1546416000,5999,6775,70.33
1546419600,6322,6999,71.26
1546423200,6576,7463,75.86
1546426800,6619,7433,73.65
1546430400,6595,7448,74.19
1546434000,6537,7390,71.51
1546437600,6438,7165,71.04
1546441200,6523,7087,71.24
1546444800,6800,7008,70.64
1546448400,7301,7116,72.85
1546452000,7432,7337,82.55
1546455600,7388,7256,83.33
1546459200,7344,7176,83.23
1546462800,7054,7100,79.06
1546466400,6610,7071,76.2
1546470000,6265,6718,71.75
1546473600,5918,6571,66.82
1546477200,5693,6245,63.35
