timestamp,demand,supply,price
01-01-19 0:00,6352,6527,65.41
01-01-19 1:00,6116,5701,64.92
01-01-19 2:00,5873,5676,64.48
01-01-19 3:00,5682,5603,59.32
01-01-19 4:00,5557,5454,56.04
01-01-19 5:00,5525,5385,53.63
01-01-19 6:00,5513,5349,51.73
01-01-19 7:00,5524,5547,51.43
01-01-19 8:00,5510,5471,48.98
01-01-19 9:00,5617,5545,54.2
01-01-19 10:00,5643,5610,58.94
01-01-19 11:00,5737,5733,59.86
01-01-19 12:00,5776,5816,60.12
01-01-19 13:00,5744,5823,62.05
01-01-19 14:00,5710,5721,62.06
01-01-19 15:00,5813,5804,59.76
01-01-19 16:00,6009,5870,61.18
01-01-19 17:00,6613,6242,64.74
01-01-19 18:00,6718,6401,74.26
01-01-19 19:00,6721,6488,74.24
01-01-19 20:00,6632,6652,75.64
01-01-19 21:00,6441,6726,73.92
01-01-19 22:00,6222,6570,70.53
01-01-19 23:00,5936,6472,64.13
02-01-19 0:00,5647,6407,64.02
02-01-19 1:00,5500,6036,58.46
02-01-19 2:00,5385,6009,54.7
02-01-19 3:00,5327,6062,54.91
02-01-19 4:00,5362,5867,53.07
02-01-19 5:00,5411,5878,54.23
02-01-19 6:00,5510,5996,58.22
02-01-19 7:00,5784,6300,67.55
02-01-19 8:00,5999,6775,70.33
02-01-19 9:00,6322,6999,71.26
02-01-19 10:00,6576,7463,75.86
02-01-19 11:00,6619,7433,73.65
02-01-19 12:00,6595,7448,74.19
02-01-19 13:00,6537,7390,71.51
02-01-19 14:00,6438,7165,71.04
02-01-19 15:00,6523,7087,71.24
02-01-19 16:00,6800,7008,70.64
02-01-19 17:00,7301,7116,72.85
02-01-19 18:00,7432,7337,82.55
02-01-19 19:00,7388,7256,83.33
02-01-19 20:00,7344,7176,83.23
02-01-19 21:00,7054,7100,79.06
02-01-19 22:00,6610,7071,76.2
02-01-19 23:00,6265,6718,71.75
03-01-19 0:00,5918,6571,66.82
03-01-19 1:00,5693,6245,63.35
